time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1986-12-17T00:00:00Z,1.3588496,3.9696565,3.9029741,4.121536,4.4761114,5.4979706,5.8155465,7.293011,1.5087541,0.9872696,0.68728906,0.72414553,0.78670496,0.6438588,0.633619,0.9544785,23166,18952,8749,7982,11241,16935,22961,19067
1987-01-17T00:00:00Z,0.82493705,2.812793,2.7180765,3.0980275,3.729787,4.176476,4.964383,6.18662,1.5975862,1.0982134,0.48283345,0.5408443,0.6497879,0.5216972,0.7112074,0.75839883,19615,17666,9093,8451,7559,10973,24904,22858
1987-02-15T00:00:00Z,0.6312131,2.288694,2.1588244,2.4083822,3.0820808,3.6810045,4.523972,5.6804123,1.2392924,1.1185644,0.47663626,0.4248098,0.4819467,0.5392796,0.7025512,0.70433706,10312,20444,4126,12770,13341,17181,33329,21125
1987-03-17T00:00:00Z,0.2629052,2.3933606,1.9055082,2.2522907,2.9432416,3.5973206,4.3341446,5.586507,1.3889087,1.1898167,0.6656076,0.6449482,0.6696724,0.66183275,0.64545655,0.8554575,15066,25016,3778,8617,11689,18071,33035,31337
1987-04-16T00:00:00Z,0.061810255,2.4153478,2.336771,2.6017563,3.204393,3.4091718,4.55046,5.7099476,1.1620051,0.9583164,0.43745467,0.78641367,0.8482418,0.62535393,0.65431714,0.7833134,17550,18138,18046,12662,11011,10178,22799,20708
1987-05-17T00:00:00Z,0.15503655,3.2282317,3.0722053,3.4029453,3.9037852,4.2129855,5.6690993,6.6741037,1.5573266,1.0929208,0.78035945,0.9321779,0.79686725,0.6754924,0.8683397,0.8279756,18332,5966,13309,8515,9112,18540,22067,15915
1987-06-16T00:00:00Z,2.5235078,5.058429,4.074636,3.5872345,5.111663,5.8234544,7.019349,8.574814,1.6227398,0.9673916,1.1892688,1.4661939,1.2265391,0.8392859,1.0928602,1.0812895,41859,26604,15401,4003,6422,13406,14793,12927
1987-07-17T00:00:00Z,6.034776,7.519543,5.134751,6.552588,7.1273885,8.620882,10.487603,10.279728,2.302251,1.2370173,0.8218869,1.5154983,1.0917245,1.3396124,1.2093164,1.1955136,35682,19642,3930,4818,11503,11534,33066,29292
1987-08-17T00:00:00Z,9.100491,9.454024,6.8799872,6.4748573,7.629692,10.4987135,11.925604,13.537327,1.7616881,1.3510088,1.564753,1.658655,1.6837542,1.369967,0.8960258,0.9371618,46004,28447,5416,6022,9910,17062,32744,25562
1987-09-16T00:00:00Z,8.9387665,9.184774,8.08396,8.125789,8.989435,10.415557,10.698949,12.135023,1.3997924,0.90408224,0.5269804,0.7647516,0.9878021,0.731636,0.74961436,0.860011,15528,12983,23703,17879,11198,13031,28526,24398
